Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
09/05/2025,Nasdaq GEMX (H)," 2,132,222.00 "," 265,500.00 "," 426,555,379.50 ", 485.00 , 330.00 ," 5,910,205.00 "," 2,132,707.00 "," 265,830.00 "," 432,465,584.50 "
09/05/2025,Nasdaq ISE (I)," 3,731,177.00 "," 544,867.00 "," 1,298,213,930.50 "," 25,692.00 "," 10,383.00 "," 112,198,923.00 "," 3,756,869.00 "," 555,250.00 "," 1,410,412,853.50 "
09/05/2025,Nasdaq MRX (J)," 1,639,817.00 "," 219,272.00 "," 365,577,821.00 ", -   , -   , -   ," 1,639,817.00 "," 219,272.00 "," 365,577,821.00 "
09/05/2025,MIAX Options Exchange (M)," 4,064,526.00 "," 651,155.00 "," 1,017,003,268.00 ", -   , -   , -   ," 4,064,526.00 "," 651,155.00 "," 1,017,003,268.00 "
09/05/2025,NYSE Arca Options (N)," 6,400,733.00 "," 875,071.00 "," 2,066,234,124.00 ", -   , -   , -   ," 6,400,733.00 "," 875,071.00 "," 2,066,234,124.00 "
09/05/2025,MIAX Pearl (P)," 1,404,451.00 "," 203,457.00 "," 287,671,633.00 ", -   , -   , -   ," 1,404,451.00 "," 203,457.00 "," 287,671,633.00 "
09/05/2025,NASDAQ Options Market (Q)," 2,436,779.00 "," 351,836.00 "," 656,718,640.00 ", -   , -   , -   ," 2,436,779.00 "," 351,836.00 "," 656,718,640.00 "
09/05/2025,MIAX Sapphire (S)," 1,802,703.00 "," 249,867.00 "," 419,132,680.00 ", -   , -   , -   ," 1,802,703.00 "," 249,867.00 "," 419,132,680.00 "
09/05/2025,Nasdaq BX Options (T)," 914,169.00 "," 102,658.00 "," 183,452,708.00 ", -   , -   , -   ," 914,169.00 "," 102,658.00 "," 183,452,708.00 "
09/05/2025,Members Exchange (U)," 1,966,618.00 "," 265,518.00 "," 423,261,509.00 ", -   , -   , -   ," 1,966,618.00 "," 265,518.00 "," 423,261,509.00 "
09/05/2025,Cboe C2 Options Exchange (W)," 1,801,714.00 "," 219,698.00 "," 349,292,917.00 "," 15,316.00 "," 2,952.00 "," 19,624,990.00 "," 1,817,030.00 "," 222,650.00 "," 368,917,907.00 "
09/05/2025,Nasdaq PHLX (X)," 5,114,183.00 "," 436,703.00 "," 1,590,552,480.00 "," 32,889.00 "," 12,388.00 "," 175,789,631.00 "," 5,147,072.00 "," 449,091.00 "," 1,766,342,111.00 "
09/05/2025,Cboe BZX Options Exchange (Z)," 2,129,952.00 "," 286,882.00 "," 584,942,568.00 "," 1,888.00 ", 613.00 ," 4,462,824.00 "," 2,131,840.00 "," 287,495.00 "," 589,405,392.00 "
08/05/2025,NYSE American Options (A)," 2,604,389.00 "," 247,886.00 "," 932,904,949.00 ", -   , -   , -   ," 2,604,389.00 "," 247,886.00 "," 932,904,949.00 "
08/05/2025,BOX Options (B)," 4,169,179.00 "," 423,426.00 "," 1,845,673,175.50 ", -   , -   , -   ," 4,169,179.00 "," 423,426.00 "," 1,845,673,175.50 "
08/05/2025,Cboe Options Exchange (C)," 6,616,443.00 "," 859,702.00 "," 2,872,756,072.00 "," 4,722,366.00 "," 991,435.00 "," 10,148,906,551.00 "," 11,338,809.00 "," 1,851,137.00 "," 13,021,662,623.00 "
08/05/2025,MIAX Emerald (D)," 2,292,987.00 "," 401,474.00 "," 700,746,949.00 ", -   , -   , -   ," 2,292,987.00 "," 401,474.00 "," 700,746,949.00 "
08/05/2025,Cboe EDGX Options Exchange (E)," 3,924,425.00 "," 606,944.00 "," 842,794,698.50 ", -   , -   , -   ," 3,924,425.00 "," 606,944.00 "," 842,794,698.50 "
08/05/2025,Nasdaq GEMX (H)," 2,394,242.00 "," 294,675.00 "," 534,997,518.00 ", 322.00 , 145.00 ," 7,400,262.00 "," 2,394,564.00 "," 294,820.00 "," 542,397,780.00 "
08/05/2025,Nasdaq ISE (I)," 3,946,839.00 "," 574,984.00 "," 1,484,636,789.00 "," 26,823.00 "," 11,311.00 "," 178,418,539.00 "," 3,973,662.00 "," 586,295.00 "," 1,663,055,328.00 "
08/05/2025,Nasdaq MRX (J)," 1,743,834.00 "," 233,208.00 "," 407,196,505.00 ", -   , -   , -   ," 1,743,834.00 "," 233,208.00 "," 407,196,505.00 "
08/05/2025,MIAX Options Exchange (M)," 4,329,852.00 "," 716,590.00 "," 1,249,931,237.00 ", -   , -   , -   ," 4,329,852.00 "," 716,590.00 "," 1,249,931,237.00 "
08/05/2025,NYSE Arca Options (N)," 7,048,059.00 "," 917,499.00 "," 2,293,676,844.00 ", -   , -   , -   ," 7,048,059.00 "," 917,499.00 "," 2,293,676,844.00 "
08/05/2025,MIAX Pearl (P)," 1,225,122.00 "," 172,751.00 "," 270,969,211.00 ", -   , -   , -   ," 1,225,122.00 "," 172,751.00 "," 270,969,211.00 "
08/05/2025,NASDAQ Options Market (Q)," 2,529,013.00 "," 363,859.00 "," 714,142,049.00 ", -   , -   , -   ," 2,529,013.00 "," 363,859.00 "," 714,142,049.00 "
08/05/2025,MIAX Sapphire (S)," 1,872,010.00 "," 258,345.00 "," 523,781,398.00 ", -   , -   , -   ," 1,872,010.00 "," 258,345.00 "," 523,781,398.00 "
08/05/2025,Nasdaq BX Options (T)," 914,512.00 "," 103,487.00 "," 179,830,711.00 ", -   , -   , -   ," 914,512.00 "," 103,487.00 "," 179,830,711.00 "
08/05/2025,Members Exchange (U)," 2,084,339.00 "," 277,177.00 "," 479,893,716.00 ", -   , -   , -   ," 2,084,339.00 "," 277,177.00 "," 479,893,716.00 "
08/05/2025,Cboe C2 Options Exchange (W)," 1,690,044.00 "," 219,562.00 "," 421,169,019.00 "," 11,460.00 "," 3,069.00 "," 19,417,388.00 "," 1,701,504.00 "," 222,631.00 "," 440,586,407.00 "
08/05/2025,Nasdaq PHLX (X)," 5,551,899.00 "," 484,323.00 "," 2,532,039,343.00 "," 33,888.00 "," 14,124.00 "," 243,060,226.00 "," 5,585,787.00 "," 498,447.00 "," 2,775,099,569.00 "
08/05/2025,Cboe BZX Options Exchange (Z)," 2,247,216.00 "," 309,220.00 "," 687,468,021.00 "," 2,321.00 ", 748.00 ," 7,848,695.00 "," 2,249,537.00 "," 309,968.00 "," 695,316,716.00 "
07/05/2025,NYSE American Options (A)," 2,353,332.00 "," 219,807.00 "," 976,576,267.00 ", -   , -   , -   ," 2,353,332.00 "," 219,807.00 "," 976,576,267.00 "
07/05/2025,BOX Options (B)," 2,907,837.00 "," 336,705.00 "," 1,195,326,008.00 ", -   , -   , -   ," 2,907,837.00 "," 336,705.00 "," 1,195,326,008.00 "
07/05/2025,Cboe Options Exchange (C)," 4,113,595.00 "," 657,437.00 "," 1,284,289,821.00 "," 3,417,498.00 "," 804,335.00 "," 8,672,122,962.00 "," 7,531,093.00 "," 1,461,772.00 "," 9,956,412,783.00 "
07/05/2025,MIAX Emerald (D)," 1,646,965.00 "," 291,299.00 "," 472,953,667.00 ", -   , -   , -   ," 1,646,965.00 "," 291,299.00 "," 472,953,667.00 "
07/05/2025,Cboe EDGX Options Exchange (E)," 2,795,254.00 "," 503,333.00 "," 590,641,332.00 ", -   , -   , -   ," 2,795,254.00 "," 503,333.00 "," 590,641,332.00 "
07/05/2025,Nasdaq GEMX (H)," 1,935,293.00 "," 257,816.00 "," 452,115,647.00 ", 326.00 , 268.00 ," 12,037,150.00 "," 1,935,619.00 "," 258,084.00 "," 464,152,797.00 "
07/05/2025,Nasdaq ISE (I)," 2,884,286.00 "," 445,843.00 "," 876,027,553.00 "," 26,269.00 "," 10,213.00 "," 117,920,183.00 "," 2,910,555.00 "," 456,056.00 "," 993,947,736.00 "
07/05/2025,Nasdaq MRX (J)," 1,287,221.00 "," 183,466.00 "," 306,963,623.00 ", -   , -   , -   ," 1,287,221.00 "," 183,466.00 "," 306,963,623.00 "
07/05/2025,MIAX Options Exchange (M)," 3,232,105.00 "," 563,730.00 "," 863,229,753.00 ", -   , -   , -   ," 3,232,105.00 "," 563,730.00 "," 863,229,753.00 "
07/05/2025,NYSE Arca Options (N)," 5,569,220.00 "," 789,619.00 "," 1,824,686,031.00 ", -   , -   , -   ," 5,569,220.00 "," 789,619.00 "," 1,824,686,031.00 "
07/05/2025,MIAX Pearl (P)," 1,192,768.00 "," 179,251.00 "," 273,191,249.00 ", -   , -   , -   ," 1,192,768.00 "," 179,251.00 "," 273,191,249.00 "
07/05/2025,NASDAQ Options Market (Q)," 2,049,747.00 "," 298,480.00 "," 599,278,208.00 ", -   , -   , -   ," 2,049,747.00 "," 298,480.00 "," 599,278,208.00 "
07/05/2025,MIAX Sapphire (S)," 1,389,464.00 "," 203,675.00 "," 332,977,392.00 ", -   , -   , -   ," 1,389,464.00 "," 203,675.00 "," 332,977,392.00 "
07/05/2025,Nasdaq BX Options (T)," 714,316.00 "," 89,219.00 "," 121,810,875.00 ", -   , -   , -   ," 714,316.00 "," 89,219.00 "," 121,810,875.00 "
07/05/2025,Members Exchange (U)," 1,660,398.00 "," 225,788.00 "," 389,451,027.00 ", -   , -   , -   ," 1,660,398.00 "," 225,788.00 "," 389,451,027.00 "
07/05/2025,Cboe C2 Options Exchange (W)," 1,255,041.00 "," 170,949.00 "," 314,122,604.00 "," 7,916.00 "," 2,451.00 "," 14,966,421.00 "," 1,262,957.00 "," 173,400.00 "," 329,089,025.00 "
07/05/2025,Nasdaq PHLX (X)," 3,977,659.00 "," 380,608.00 "," 1,157,439,412.70 "," 27,467.00 "," 11,649.00 "," 156,318,711.00 "," 4,005,126.00 "," 392,257.00 "," 1,313,758,123.70 "
07/05/2025,Cboe BZX Options Exchange (Z)," 1,791,209.00 "," 254,029.00 "," 508,912,738.00 "," 1,581.00 ", 613.00 ," 3,377,045.00 "," 1,792,790.00 "," 254,642.00 "," 512,289,783.00 "
06/05/2025,NYSE American Options (A)," 2,229,223.00 "," 214,957.00 "," 878,499,222.00 ", -   , -   , -   ," 2,229,223.00 "," 214,957.00 "," 878,499,222.00 "
06/05/2025,BOX Options (B)," 2,852,877.00 "," 317,722.00 "," 814,996,068.00 ", -   , -   , -   ," 2,852,877.00 "," 317,722.00 "," 814,996,068.00 "
06/05/2025,Cboe Options Exchange (C)," 3,930,188.00 "," 599,446.00 "," 1,411,856,469.00 "," 3,730,686.00 "," 972,922.00 "," 10,022,616,821.00 "," 7,660,874.00 "," 1,572,368.00 "," 11,434,473,290.00 "
06/05/2025,MIAX Emerald (D)," 1,490,473.00 "," 270,638.00 "," 454,756,519.00 ", -   , -   , -   ," 1,490,473.00 "," 270,638.00 "," 454,756,519.00 "
06/05/2025,Cboe EDGX Options Exchange (E)," 2,973,956.00 "," 493,769.00 "," 684,457,200.00 ", -   , -   , -   ," 2,973,956.00 "," 493,769.00 "," 684,457,200.00 "
06/05/2025,Nasdaq GEMX (H)," 1,990,306.00 "," 230,324.00 "," 410,951,329.00 ", 312.00 , 201.00 ," 13,600,920.00 "," 1,990,618.00 "," 230,525.00 "," 424,552,249.00 "
06/05/2025,Nasdaq ISE (I)," 2,619,369.00 "," 414,578.00 "," 858,514,757.00 "," 26,270.00 "," 11,394.00 "," 149,997,611.00 "," 2,645,639.00 "," 425,972.00 "," 1,008,512,368.00 "
06/05/2025,Nasdaq MRX (J)," 1,274,739.00 "," 189,209.00 "," 310,405,829.00 ", -   , -   , -   ," 1,274,739.00 "," 189,209.00 "," 310,405,829.00 "
06/05/2025,MIAX Options Exchange (M)," 3,348,564.00 "," 524,559.00 "," 884,592,345.00 ", -   , -   , -   ," 3,348,564.00 "," 524,559.00 "," 884,592,345.00 "
06/05/2025,NYSE Arca Options (N)," 5,037,231.00 "," 717,652.00 "," 1,851,985,989.00 ", -   , -   , -   ," 5,037,231.00 "," 717,652.00 "," 1,851,985,989.00 "
06/05/2025,MIAX Pearl (P)," 1,049,709.00 "," 158,869.00 "," 248,376,959.00 ", -   , -   , -   ," 1,049,709.00 "," 158,869.00 "," 248,376,959.00 "
06/05/2025,NASDAQ Options Market (Q)," 1,923,082.00 "," 284,504.00 "," 556,522,170.00 ", -   , -   , -   ," 1,923,082.00 "," 284,504.00 "," 556,522,170.00 "
